wmproductId,MÃ NỘI BỘ,product name,"LOẠI 
SIM","GIÁ 
PEE"
WM-e-SM-3GB-6D,WM-e-SM-3GB-6D+1,"Singapore, Malaysia, 6 Days, 3GB /day, 128kbps",ESIM,302000
WM-e-SM-MAX-6D,WM-e-SM-MAX-6D+1,"Singapore, Malaysia, 6 Days, Unlimited data /day",ESIM,422000
WM-e-SM-10MAX-6D,WM-e-SM-10MAX-6D+1,"Singapore, Malaysia, 6 Days, Premium unlimited data/day",ESIM,474000
WM-e-SM-500MB-7D,WM-e-SM-500MB-7D+1,"Singapore, Malaysia, 7 Days, 500MB /day, 128kbps",ESIM,133000
WM-e-SM-1GB-7D,WM-e-SM-1GB-7D+1,"Singapore, Malaysia, 7 Days, 1GB /day, 128kbps",ESIM,162000
WM-e-SM-2GB-7D,WM-e-SM-2GB-7D+1,"Singapore, Malaysia, 7 Days, 2GB /day, 128kbps",ESIM,248000
WM-e-SM-3GB-7D,WM-e-SM-3GB-7D+1,"Singapore, Malaysia, 7 Days, 3GB /day, 128kbps",ESIM,319000
WM-e-SM-MAX-7D,WM-e-SM-MAX-7D+1,"Singapore, Malaysia, 7 Days, Unlimited data /day",ESIM,439000
WM-e-SM-10MAX-7D,WM-e-SM-10MAX-7D+1,"Singapore, Malaysia, 7 Days, Premium unlimited data/day",ESIM,490000
WM-e-SM-T3-7D,WM-e-SM-T3-7D+1,"Singapore, Malaysia, 7 Days, 3GB, 128kbps",ESIM,111000
WM-e-SM-T5-7D,WM-e-SM-T5-7D+1,"Singapore, Malaysia, 7 Days, 5GB, 128kbps",ESIM,146000
WM-e-SM-T10-7D,WM-e-SM-T10-7D+1,"Singapore, Malaysia, 7 Days, 10GB, 128kbps",ESIM,211000
WM-e-SM-T20-7D,WM-e-SM-T20-7D+1,"Singapore, Malaysia, 7 Days, 20GB, 128kbps",ESIM,368000
WM-e-SM-T30-7D,WM-e-SM-T30-7D+1,"Singapore, Malaysia, 7 Days, 30GB, 128kbps",ESIM,497000
